"videoId","title","filename","publishedAt","bang_count"
"EU4l42EIokA","I took on the Fight Kiln on my New Style Locked Group Ironman (#5) | RuneScape 3","I took on the Fight Kiln on my New Style Locked Group Ironman (#5)  RuneScape 3.txt","2024-11-14T13:58:46Z",2
"XrCWxu2RItg","The Calm Before the Storm | Style Locked Group Ironman (#4) | RuneScape 3","The Calm Before the Storm  Style Locked Group Ironman (#4)  RuneScape 3.txt","2024-11-09T18:49:31Z",7
"9IOuAgaLvL4","I got a New Best Weapon | Style Locked Group Ironman (#3) | RuneScape 3","I got a New Best Weapon  Style Locked Group Ironman (#3)  RuneScape 3.txt","2024-11-06T17:39:49Z",12
"LDLJh_g1eew","Getting an Upgrade | Style Locked Group Ironman (#2) | RuneScape 3","Getting an Upgrade  Style Locked Group Ironman (#2)  RuneScape 3.txt","2024-11-02T15:10:44Z",13
"sKgL2w7n7gs","Welcome to Locked In | Style Locked Group Ironman (#1) | RuneScape 3","Welcome to Locked In  Style Locked Group Ironman (#1)  RuneScape 3.txt","2024-10-31T15:09:42Z",6
"bbvAUptkIUE","Fast Vindicta with Magic","Fast Vindicta with Magic.txt","2024-10-18T12:50:20Z",0
"CuWKJmeMyNM","So Normal Prayers are Insane now.. (RuneScape)","So Normal Prayers are Insane now.. (RuneScape).txt","2024-10-18T12:00:27Z",0
"6lqd2rAyjkw","Rs Guy Height Reveal (real)","Rs Guy Height Reveal (real).txt","2024-10-14T12:48:50Z",0
"_GtaVOK_oQI","The Grind that Nearly Defeated my Hardcore Ironman (RuneScape 3)","The Grind that Nearly Defeated my Hardcore Ironman (RuneScape 3).txt","2024-10-12T16:45:42Z",10
"BkxiTAvuk1I","Selling a legendary weapon for 1 gp","Selling a legendary weapon for 1 gp.txt","2024-10-11T12:46:20Z",0
"N2gVFwLybN0","There's no way","There's no way.txt","2024-10-07T12:45:59Z",0
"tXxzjA5XBbs","Worst team","Worst team.txt","2024-10-01T18:00:28Z",0
"bl5iGS64SB4","I ABANDONED my Entire Bank and now I have 24 hours to Rebuild.","I ABANDONED my Entire Bank and now I have 24 hours to Rebuild..txt","2024-09-14T16:08:06Z",32
"Csqbxc6fFsU","new sword","new sword.txt","2024-09-08T16:38:34Z",0
"58q4BMHCKn0","Ain't no way","Ain't no way.txt","2024-09-07T18:26:19Z",0
"-pAkxQQ4018","disaster","disaster.txt","2024-09-05T17:09:20Z",0
"jO1tF2p-qtc","A Beginners' Guide to Hardmode Nakatra (Sanctum of Rebirth)","A Beginners' Guide to Hardmode Nakatra (Sanctum of Rebirth).txt","2024-09-03T13:15:16Z",0
"oPKF8PN4JRE","new sword","new sword.txt","2024-08-31T16:27:21Z",0
"20iXWlem0C4","It's finally over","It's finally over.txt","2024-08-29T17:50:28Z",0
"6xDVMTBt9-s","Nevermind..","Nevermind...txt","2024-08-27T16:53:26Z",0
"UwgaMrooNbw","Rare pet drop!","Rare pet drop!.txt","2024-08-25T17:37:17Z",0
"PcHUA34g-_g","The Grind that made me the Most Powerful Hardcore Ironman (Ranger Arc Finale)","The Grind that made me the Most Powerful Hardcore Ironman (Ranger Arc Finale).txt","2024-08-24T15:57:52Z",12
"VEL5LD3ZFL4","I grinded 13 hours for this drop...","I grinded 13 hours for this drop....txt","2024-08-22T16:59:30Z",0
"vO3CThAQIBc","The intrusive thoughts won","The intrusive thoughts won.txt","2024-08-20T16:16:23Z",0
"1EyRZ0kITxA","Canadian Keyboard","Canadian Keyboard.txt","2024-08-18T16:17:18Z",0
"4_xyEg61WuY","Legendary Weapons btw","Legendary Weapons btw.txt","2024-08-15T16:32:18Z",0
"g0iMnHICgtk","Reddit post generator","Reddit post generator.txt","2024-08-13T18:34:28Z",0
"IWxgrTPnteM","Streamer luck is real","Streamer luck is real.txt","2024-08-08T18:13:23Z",0
"rHCX4FopM7I","I made the ICONIC RuneScape Cake!","I made the ICONIC RuneScape Cake!.txt","2024-08-06T18:02:19Z",0
